timestamp,pir,radar_conf,photo,score,threshold
11016619,0,1,0,8.8,8
11020679,0,1,0,8.8,8
11028859,0,1,0,8.8,8
11036969,1,1,0,8.8,8
11041029,0,1,0,8.8,8
11231029,0,1,0,8.8,8
11239161,1,1,0,8.8,8
11247259,0,1,0,8.8,8
11251279,0,1,0,8.8,8
11259299,0,1,0,8.8,8
11267390,1,1,0,8.8,8
11312059,0,1,0,8.8,8
11320159,0,1,0,8.8,8
11328249,0,1,0,8.8,8
11336374,1,1,0,8.8,8
11340439,0,1,0,8.8,8
11348539,0,1,0,8.8,8
11356690,0,1,0,8.8,8
11364790,1,1,0,8.8,8
11368895,0,1,0,8.8,8
11376990,0,1,0,8.8,8
11385100,0,1,0,8.8,8
11405209,1,1,0,8.8,8
11413369,0,1,0,8.8,8
11421440,0,1,0,8.8,8
11494209,0,1,0,8.8,8
11502389,0,1,0,8.8,8
11510509,1,1,0,8.8,8
11514519,0,1,0,8.8,8
11526671,0,1,0,8.8,8
11530769,0,1,0,8.8,8
11538909,0,1,0,8.8,8
11547029,1,1,0,8.8,8
11551069,0,1,0,8.8,8
11975869,0,1,0,8.8,8
11983939,1,1,0,8.8,8
11987969,0,1,0,8.8,8
11996009,0,1,0,8.8,8
12004059,0,1,0,8.8,8
12012209,0,1,0,8.8,8
12016249,0,1,0,8.8,8
12024340,0,1,0,8.8,8
12214569,0,1,0,8.8,8
12222679,0,1,0,8.8,8
12230679,1,1,0,8.8,8
12238779,0,1,0,8.8,8
12246839,1,1,0,8.8,8
12250959,0,0.25,0,7,8
12259120,0,1,0,7.085715,8
12267210,1,0.75,0,7,8
12271200,0,1,0,7.066667,8
12279300,0,0.125,0,6.7000004,8
12287350,1,0,0,6.2200004,8
12291370,0,0.875,0,6.1600004,8
12299440,0,1,0,6.1600004,8
12307590,0,0.125,0,5.7400004,8
12311630,0,0,0,5.2599996,8
12319770,0,0,0,5.1400004,8
12327830,1,0.875,0,5.08,8
12335880,0,0.125,0,4.78,8
12339950,0,0,0,4.3,8
12424989,0,0.875,0,8.2,8
12433049,0,1,0,8.5,8
12441161,0,1,0,8.6,8
12445179,0,1,0,8.650001,8
12453519,0,1,0,8.68,8
12461430,1,1,0,8.7,8
12469540,0,1,0,8.714286,8
12473675,0,0.25,0,7.07500036,8
12481740,0,0,0,6.6,8
12489810,0,0.875,0,6.6400004,8
12586949,1,0.125,0,0,8
12595049,0,0.875,0,5.2000004,8
12599109,0,1,0,6,8
12607179,1,1,0,6.4,8
12615190,0,1,0,6.6400004,8
12619239,0,0.75,0,6.6,8
12627290,1,1,0,6.7428576,8
12635401,0,0.875,0,6.775,8
12639470,0,0.375,0,6.533334,8
12647590,1,1,0,6.6400004,8
12667787,0,1,0,8.8,8
12671889,0,1,0,8.8,8
12679999,0,1,0,8.8,8
12688039,1,1,0,8.8,8
12692099,0,1,0,8.8,8
12700249,0,1,0,8.8,8
12708360,1,1,0,8.8,8
12712421,0,0.75,0,8.650001,8
12720511,1,0.125,0,7,8
12728640,0,0.875,0,7,8
12736720,0,1,0,7,8
12744740,1,1,0,7,8
12748770,0,1,0,7,8
12756870,0,1,0,7,8
12784999,0,1,0,8.8,8
12793149,0,1,0,8.8,8
12801289,1,1,0,8.8,8
12805369,0,1,0,8.8,8
13161369,1,1,0,8.8,8
13169379,0,1,0,8.8,8
13238279,0,1,0,8.8,8
13512719,0,1,0,8.8,8
13520869,0,1,0,8.8,8
13528900,1,1,0,8.8,8
13532989,0,1,0,8.8,8
13541030,0,0.125,0,6.7599996,8
13549119,0,0.875,0,6.8,8
13808391,0,1,0,8.8,8
13812489,0,0.125,0,5.5,8
13820629,0,0.375,0,5.2000004,8
13828759,1,0.875,0,5.65,8
13836879,0,1,0,6.0400004,8
13841010,0,0.125,0,5.6,8
13849140,0,0.875,0,5.8000008,8
13857310,1,1,0,6.0250008,8
13861335,0,1,0,6.2000004,8
13869401,0,0.375,0,6.0400004,8
13877500,0,0.125,0,5.62,8
13885640,1,0,0,5.56,8
13889660,0,0,0,5.38,8
13897750,0,0,0,4.96,8
13905840,1,0.25,0,4.6000004,8
13909890,0,0.875,0,4.96,8
13918000,0,1,0,5.02,8
13926050,0,1,0,5.02,8
13986849,1,1,0,8.8,8
13994949,1,1,0,8.8,8
13999059,0,1,0,8.8,8
14007161,0,1,0,8.8,8
14015259,1,1,0,8.8,8
14019319,0,1,0,8.8,8
14027400,0,1,0,8.8,8
14035450,0,1,0,8.8,8
14039480,0,1,0,8.8,8
14213749,0,1,0,8.8,8
14217829,0,1,0,8.8,8
14225979,0,1,0,8.8,8
14234099,0,0.125,0,6.55,8
14238130,0,0.875,0,6.6400004,8
14246170,0,1,0,6.8,8
14254360,0,1,0,6.914285,8
14258260,0,1,0,7,8
14266400,0,1,0,7.066667,8
14375279,0,1,0,8.8,8
14383379,0,1,0,8.8,8
14391509,0,1,0,8.8,8
14395609,0,1,0,8.8,8
14403699,1,1,0,8.8,8
14411750,0,1,0,8.8,8
14415720,0,1,0,8.8,8
14423780,0,1,0,8.8,8
14512819,0,1,0,8.8,8
14520918,1,1,0,8.8,8
14528979,1,1,0,8.8,8
14533109,0,0.125,0,6.55,8
14541170,0,0.25,0,6.0400004,8
14549189,0,1,0,6.3,8
14553290,0,0.625,0,6.2285716,8
14707079,1,0.875,0,8.2,8
14711079,0,1,0,8.5,8
14767689,1,1,0,8.8,8
14775729,0,1,0,8.8,8
14779829,0,1,0,8.8,8
14787909,0,1,0,8.8,8
14795994,1,1,0,8.8,8
14800035,0,1,0,8.8,8
14808090,0,1,0,8.8,8
14816140,0,0.125,0,7.07500036,8
14820195,0,0,0,6.6,8
14828380,0,0.875,0,6.6400004,8
14836530,1,1,0,6.6400004,8
14840540,0,1,0,6.6400004,8
14848570,0,1,0,6.6400004,8
14856640,0,1,0,6.6400004,8
14864700,0,1,0,6.6400004,8
14868700,0,1,0,6.6400004,8
14876810,0,1,0,6.6400004,8
14884900,0,1,0,7.06,8
14893010,0,1,0,8.740001,8
14901100,1,1,0,8.8,8
14905180,0,1,0,8.8,8
15038839,0,1,0,8.8,8
15042939,0,0.125,0,5.5,8
15051049,0,0,0,4.6,8
15059079,1,0.75,0,5.05,8
15063120,0,1,0,5.56,8
15071289,0,1,0,5.9,8
15079460,0,1,0,6.142857,8
15083540,0,1,0,6.3250004,8
15395459,0,1,0,8.8,8
15403589,0,0.125,0,5.5,8
15411749,0,0.875,0,6,8
15415849,0,1,0,6.4,8
15424099,0,1,0,6.6400004,8
15545679,0,1,0,8.8,8
15553839,1,1,0,8.8,8
15727519,0,1,0,8.8,8
16464419,0,1,0,8.8,8
16472479,0,1,0,8.8,8
16557719,1,1,0,8.8,8
16565789,0,0.125,0,5.5,8
16569880,0,0,0,4.6,8
16577921,1,0.875,0,5.2000004,8
16586009,0,1,0,5.6800004,8
17379569,0,1,0,8.8,8
17383589,0,1,0,8.8,8
17391699,1,1,0,8.8,8
17395724,0,1,0,8.8,8
17403814,0,1,0,8.8,8
17411849,1,1,0,8.8,8
17419990,0,1,0,8.8,8
17423990,0,1,0,8.8,8
17432100,0,1,0,8.8,8
17671109,0,0.5,0,4.8,8
17679229,0,0.875,0,6.1,8
17687349,1,1,0,6.6,8
17691409,0,1,0,6.85,8
17966919,1,1,0,8.8,8
18290179,0,1,0,8.8,8
18294454,0,1,0,8.8,8
18306529,1,1,0,8.8,8
18310629,0,1,0,8.8,8
18318699,0,1,0,8.8,8
18326899,0,0.125,0,6.55,8
18330959,0,0,0,5.8,8
18387779,0,0.875,0,8.2,8
18395869,0,0.125,0,5.2000004,8
18517639,0,0.375,0,4.2000004,8
18525799,1,0.125,0,2.4,8
18529889,0,0.875,0,5,8
18538019,0,1,0,5.65,8
18546129,0,1,0,6.0400004,8
18695859,0,1,0,8.8,8
18703909,0,0.125,0,5.5,8
18711969,0,0.875,0,6,8
18720109,0,0.125,0,5.35,8
18817559,1,0.125,0,0,8
18825679,0,0,0,0,8
18829749,0,0,0,0,8
18837879,0,0.5,0,0,8
18939089,0,0.875,0,8.2,8
18943149,0,1,0,8.5,8
18951249,0,0.125,0,6,8
18959629,0,0.75,0,6.1,8
18963660,0,0.625,0,6.0400004,8
18971740,0,0.875,0,6.2000004,8
18979870,1,1,0,6.4,8
18987950,0,1,0,6.55,8
19016249,0,1,0,8.8,8
19024339,0,1,0,8.8,8
19032389,1,1,0,8.8,8
19040499,0,1,0,8.8,8
19198279,0,1,0,8.8,8
19206399,0,1,0,8.8,8
19214489,1,1,0,8.8,8
19222559,1,1,0,8.8,8
19226569,0,1,0,8.8,8
19234699,0,1,0,8.8,8
19351879,1,1,0,8.8,8
19356089,0,1,0,8.8,8
19364159,0,1,0,8.8,8
19372299,1,1,0,8.8,8
19376309,0,1,0,8.8,8
19384339,0,1,0,8.8,8
19392381,1,1,0,8.8,8
19400484,0,1,0,8.8,8
19404480,0,1,0,8.8,8
19412540,0,1,0,8.8,8
19420630,0,1,0,8.8,8
19424690,0,1,0,8.8,8
19432740,0,1,0,8.8,8
19440800,0,1,0,8.8,8
19448945,1,1,0,8.8,8
19452951,0,1,0,8.8,8
19461120,0,1,0,8.8,8
19469130,1,1,0,8.8,8
19477220,0,1,0,8.8,8
19481290,0,1,0,8.8,8
19489370,0,1,0,8.8,8
19497520,1,1,0,8.8,8
19501580,0,1,0,8.8,8
19509631,0,1,0,8.8,8
19517770,1,1,0,8.8,8
19525860,0,1,0,8.8,8
19529930,0,1,0,8.8,8
19537980,0,1,0,8.8,8
19566350,0,1,0,8.8,8
19574411,0,1,0,8.8,8
19582519,1,1,0,8.8,8
19590500,0,1,0,8.8,8
19659189,0,1,0,8.8,8
19663289,0,1,0,8.8,8
19671369,0,1,0,8.8,8
19679459,1,1,0,8.8,8
19687570,0,1,0,8.8,8
19691609,0,1,0,8.8,8
19699700,0,1,0,8.8,8
19708000,1,1,0,8.8,8
19715890,0,1,0,8.8,8
19719840,0,1,0,8.8,8
19986999,0,1,0,8.8,8
19995049,0,1,0,8.8,8
20019150,1,1,0,8.8,8
20027439,0,1,0,8.8,8
20047689,0,1,0,8.8,8
20055789,1,1,0,8.8,8
20063839,1,1,0,8.8,8
20647729,0,1,0,8.8,8
20655829,0,1,0,8.8,8
20659909,0,1,0,8.8,8
20667989,0,1,0,8.8,8
20736649,0,1,0,8.8,8
20886539,0,1,0,8.8,8
20890601,0,1,0,8.8,8
20898690,1,1,0,8.8,8
20906799,0,1,0,8.8,8
20910809,0,1,0,8.8,8
20918859,0,1,0,8.8,8
20927050,0,1,0,8.8,8
20931060,0,1,0,8.8,8
20939120,0,1,0,8.8,8
20947240,0,1,0,8.8,8
21367879,0,1,0,8.8,8
21607089,0,1,0,8.8,8
21615109,0,1,0,8.8,8
21623260,1,1,0,8.8,8
21627299,0,1,0,8.8,8
21635434,0,1,0,8.8,8
21643540,1,0.375,0,7.1,8
21647600,0,0.875,0,7.085715,8
21655730,0,1,0,7.15,8
21663750,0,1,0,7.2000002,8
21671810,0,1,0,7.2400004,8
21675890,0,1,0,7.2400004,8
21683970,0,1,0,7.2400004,8
21692090,1,1,0,7.2400004,8
21696240,0,1,0,7.2400004,8
21704190,0,1,0,7.2400004,8
21712340,0,1,0,8.740001,8
21720470,0,1,0,8.8,8
21724530,0,1,0,8.8,8
21732720,0,1,0,8.8,8
21740795,0,1,0,8.8,8
21748800,1,1,0,8.8,8
21756860,0,1,0,8.8,8
21761030,0,1,0,8.8,8
22121009,0,1,0,8.8,8
22125119,0,1,0,8.8,8
22133199,0,1,0,8.8,8
22141249,1,1,0,8.8,8
22145249,0,1,0,8.8,8
